What type of vehicle do you use?,What is the fuel type of your vehicle,How often do you use your vehicle?,How would you describe your driving style,How often do you accelerate quickly?,How often do you apply sudden brakes?,What is your average driving speed?,What type of traffic do you usually experience?,How often do you face traffic congestion?,Do you often drive in stop-and-go traffic?,How would you rate your vehicle’s fuel consumption?,How often do you refuel your vehicle?,Approximately how much fuel do you use per week?,Do you think your driving behavior affects fuel consumption?,Are you using the QR-based fuel system?,Is the allocated fuel sufficient for your weekly needs?,Has fuel limitation changed your travel behavior?,What changes have you made due to fuel limits?,Distance (km)
1,1,Daily,1,Sometimes,Sometimes,2,2,Sometimes,No,2,Once a week,21–40  Liters,Yes,Yes,No,Yes,"Reduced travel, Changed routes, Driving more carefully",350
4,1,Daily,2,Sometimes,Sometimes,2,2,Frequently,No,2,Once a week,10–20  Liters,Not sure,Yes,No,Yes,"Reduced travel, Changed routes, Driving more carefully",550
3,2,Daily,2,Sometimes,Sometimes,2,2,Sometimes,No,2,Once a week,41–60 Liters,Yes,Yes,No,Yes,"Changed routes, Driving more carefully",480
2,2,Daily,1,Often,Often,2,3,Frequently,Yes,3,Once a week,81–100 Liters,Yes,Yes,No,Yes,"Reduced travel, Changed routes",375
5,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,2,Twice a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Driving more carefully,360
4,1,Several times a week,2,Often,Sometimes,2,2,Sometimes,No,2,More than twice,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,262
5,1,Daily,1,Sometimes,Sometimes,2,1,Rarely,Yes,2,3 time per week,Less than 10  Liters,Yes,Yes,Yes,No,Reduced travel,218
2,2,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,More than twice,21–40  Liters,Yes,Yes,Yes,Yes,Changed routes,142
1,1,Several times a week,1,Sometimes,Sometimes,2,1,Sometimes,Yes,2,Twice a week,Less than 10  Liters,Not sure,Yes,Yes,No,Reduced travel,110
5,1,Daily,2,Often,Often,1,2,Frequently,No,2,More than twice,Less than 10  Liters,Yes,Yes,Yes,No,No change,75
4,1,Daily,2,Sometimes,Sometimes,2,2,Sometimes,No,2,Once a week,10–20  Liters,Yes,Yes,No,Yes,"Reduced travel, Driving more carefully",424
3,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Twice a week,10–20  Liters,Yes,Yes,No,Yes,"Reduced travel, Changed routes, Driving more carefully",135
3,1,Daily,2,Sometimes,Sometimes,1,2,Sometimes,Yes,1,Twice a week,21–40  Liters,Yes,Yes,No,Yes,Reduced travel,355
4,1,Occasionally,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,10–20  Liters,No,Yes,No,Yes,Changed routes,635
5,1,Occasionally,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,More than twice,Less than 10  Liters,No,Yes,Yes,Yes,Driving more carefully,59
5,1,Daily,2,Sometimes,Sometimes,2,2,Frequently,Yes,2,Twice a week,Less than 10  Liters,No,Yes,No,Yes,"Reduced travel, Driving more carefully",400
3,1,Several times a week,2,Sometimes,Never,2,3,Frequently,No,2,Once a week,21–40  Liters,Yes,Yes,No,Yes,"Reduced travel, Changed routes, Driving more carefully",364
1,1,Several times a week,1,Sometimes,Sometimes,2,2,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Driving more carefully,151
1,1,Several times a week,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,10–20  Liters,Not sure,Yes,Yes,Yes,Reduced travel,290
1,1,Daily,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Reduced travel,291
1,2,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,21–40  Liters,Not sure,Yes,Yes,Yes,Changed routes,371
1,2,Several times a week,1,Sometimes,Sometimes,3,2,Frequently,Yes,2,Once a week,21–40  Liters,Yes,Yes,Yes,Yes,Reduced travel,400
4,1,Several times a week,1,Sometimes,Sometimes,2,2,Frequently,No,2,Once a week,10–20  Liters,Not sure,Yes,Yes,Yes,"Reduced travel, Changed routes",515
1,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,Changed routes,90
1,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,No change,200
5,1,Daily,2,Sometimes,Sometimes,2,1,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,No,Yes,Yes,Reduced travel,550
1,1,Daily,1,Sometimes,Often,3,2,Sometimes,Yes,2,Twice a week,21–40  Liters,Yes,Yes,Yes,Yes,Driving more carefully,357
5,1,Daily,1,Sometimes,Sometimes,2,3,Frequently,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,96
5,1,Daily,2,Sometimes,Sometimes,4,2,Sometimes,Yes,2,Once a week,Less than 10  Liters,Not sure,Yes,No,Yes,"Changed routes, No change",245
5,1,Daily,2,Sometimes,Sometimes,2,2,Sometimes,No,2,Twice a week,Less than 10  Liters,Not sure,Yes,Yes,Yes,"Changed routes, Driving more carefully",161
5,1,Occasionally,1,Sometimes,Sometimes,2,2,Sometimes,Yes,1,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,"Reduced travel, Driving more carefully",232
1,1,Daily,1,Sometimes,Sometimes,2,3,Frequently,Yes,2,Twice a week,10–20  Liters,Not sure,Yes,Yes,No,Reduced travel,241
1,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,10–20  Liters,Not sure,Yes,Yes,Yes,Reduced travel,300
1,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,10–20  Liters,Not sure,Yes,Yes,Yes,Reduced travel,236
1,1,Several times a week,2,Never,Sometimes,2,1,Rarely,No,2,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Reduced travel,149
2,2,Several times a week,2,Sometimes,Sometimes,2,1,Rarely,Yes,1,Once a week,61–80 Liters,Yes,Yes,Yes,No,Reduced travel,295
1,1,Several times a week,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Twice a week,Less than 10  Liters,Not sure,Yes,Yes,Yes,Reduced travel,122
1,2,Daily,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,21–40  Liters,Not sure,Yes,Yes,Yes,Changed routes,421
5,1,Daily,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,More than twice,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,82
1,1,Several times a week,1,Sometimes,Often,2,2,Sometimes,Yes,2,Twice a week,10–20  Liters,Not sure,Yes,Yes,No,No change,275
1,1,Several times a week,1,Sometimes,Sometimes,3,3,Sometimes,No,2,Twice a week,Less than 10  Liters,Not sure,Yes,No,No,No change,138
5,1,Several times a week,1,Sometimes,Sometimes,2,1,Rarely,No,1,Twice a week,Less than 10  Liters,Yes,Yes,Yes,Yes,No change,133
1,1,Several times a week,1,Sometimes,Sometimes,2,2,Sometimes,No,2,As required running capacity ,Less than 10  Liters,Yes,Yes,Yes,Yes,"Changed routes, Driving more carefully",160
5,1,Daily,2,Sometimes,Sometimes,2,1,Frequently,No,3,More than twice,Less than 10  Liters,No,Yes,Yes,Yes,Reduced travel,150
5,1,Daily,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,More than twice,Less than 10  Liters,Yes,Yes,Yes,Yes,Changed routes,254
5,1,Daily,2,Sometimes,Sometimes,2,1,Rarely,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,"Reduced travel, Changed routes, Driving more carefully",244
6,2,Several times a week,1,Sometimes,Sometimes,2,2,Sometimes,No,2,Twice a week,More than 100 Liters,Not sure,Yes,Yes,Yes,Driving more carefully,1000
5,1,Daily,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,More than twice,Less than 10  Liters,Yes,Yes,Yes,Yes,Driving more carefully,214
5,1,Daily,1,Sometimes,Sometimes,2,2,Frequently,Yes,2,Twice a week,Less than 10  Liters,Not sure,Yes,No,No,No change,242
5,1,Daily,3,Sometimes,Often,3,3,Rarely,Yes,2,Once a week,Less than 10  Liters,Not sure,Yes,Yes,Yes,No change,94
5,1,Daily,1,Sometimes,Sometimes,3,2,Sometimes,Yes,2,More than twice,Less than 10  Liters,Yes,Yes,Yes,Yes,Driving more carefully,207
5,1,Several times a week,2,Often,Often,3,2,Frequently,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,"Reduced travel, Driving more carefully",59
1,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,No,2,Twice a week,10–20  Liters,No,Yes,Yes,No,No change,291
5,1,Daily,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,More than twice,Less than 10  Liters,Not sure,Yes,No,Yes,"Reduced travel, Driving more carefully",53
5,1,Several times a week,2,Sometimes,Sometimes,3,2,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,No,No,Yes,Reduced travel,51
1,1,Several times a week,1,Sometimes,Never,1,2,Rarely,Yes,2,Once a week,10–20  Liters,Not sure,Yes,Yes,No,No change,254
5,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,"Reduced travel, Driving more carefully",245
5,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Twice a week,Less than 10  Liters,Not sure,Yes,Yes,Yes,"Reduced travel, Changed routes",229
5,1,Daily,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Twice a week,Less than 10  Liters,Yes,Yes,No,Yes,Driving more carefully,109
5,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,No,2,More than twice,Less than 10  Liters,Not sure,Yes,Yes,Yes,"Reduced travel, Changed routes",238
5,1,Occasionally,1,Often,Sometimes,2,2,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,120
5,1,Several times a week,2,Sometimes,Often,2,3,Sometimes,Yes,2,More than twice,Less than 10  Liters,Not sure,Yes,No,No,No change,118
1,1,Daily,1,Sometimes,Sometimes,2,2,Rarely,Yes,2,Once a week,10–20  Liters,Yes,Yes,No,Yes,"Changed routes, Driving more carefully",152
3,1,Daily,2,Sometimes,Sometimes,2,1,Sometimes,Yes,2,More than twice,21–40  Liters,Yes,Yes,Yes,No,No change,394
5,1,Several times a week,1,Sometimes,Sometimes,1,1,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,139
2,2,Daily,2,Sometimes,Sometimes,1,2,Rarely,Yes,2,More than twice,41–60 Liters,Yes,Yes,Yes,No,No change,220
1,1,Several times a week,2,Sometimes,Sometimes,3,2,Rarely,Yes,2,Twice a week,10–20  Liters,No,Yes,No,Yes,Reduced travel,243
5,1,Daily,2,Sometimes,Sometimes,2,2,Sometimes,Yes,3,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,Driving more carefully,76
5,1,Daily,3,Often,Often,2,3,Sometimes,Yes,1,Once a week,Less than 10  Liters,Not sure,Yes,Yes,Yes,Driving more carefully,500
